Open,High,Low,Close,Adj_Close 
912.57,915.43,895.92,908.27,905.21
914.11,915.11,895.0,901.25,898.21
902.15,921.54,897.2,920.89,917.79
924.31,937.62,918.63,935.02,931.87
937.01,942.35,922.1,923.71,920.6
931.13,932.61,920.43,923.54,920.43
921.5,921.5,902.3,906.18,903.13
906.31,915.5,903.46,904.97,901.92
912.85,916.81,903.86,915.04,911.96
921.99,939.86,913.2,921.49,918.38
921.0,922.0,909.45,918.52,915.42
922.12,925.68,909.2,924.43,921.31
931.79,939.3,921.19,924.56,921.44
920.26,921.85,905.3,909.32,906.25
893.62,901.21,875.61,877.79,874.83
864.52,887.43,858.81,885.94,882.95
888.83,891.27,878.87,884.48,881.5
880.0,893.35,878.7,891.07,888.07
889.54,892.0,880.88,885.55,882.56
885.91,888.97,876.89,887.16,884.17
890.51,905.28,889.57,898.4,895.37
903.0,921.97,902.23,913.72,910.64
916.29,921.35,912.0,919.74,916.64
920.0,922.0,905.15,910.69,907.62
916.04,932.24,911.18,932.06,928.92
936.0,937.0,926.0,929.51,926.38
924.44,926.52,907.8,913.32,910.24
910.03,917.81,897.84,916.42,913.33
921.0,930.51,916.04,917.12,914.03
917.18,920.92,905.62,917.97,914.88
917.98,918.86,904.56,906.13,903.08
901.68,911.12,900.2,909.15,906.09
905.62,907.95,891.73,903.25,900.21
898.33,900.0,888.28,891.32,888.32
899.73,900.96,889.45,892.7,889.69
894.87,898.21,890.78,895.59,892.57
898.21,907.98,898.21,903.58,900.53
798.5,860.5,769.0,846.83,843.98
836.51,853.5,825.24,829.74,826.94
828.0,833.0,816.73,818.93,816.17
805.0,820.19,803.68,806.14,803.42
803.83,809.21,797.49,806.06,803.34
817.33,820.73,767.61,776.38,773.76
784.65,802.55,778.19,797.45,794.76
803.5,847.27,801.26,831.54,828.74
831.3,844.0,824.63,832.44,829.63
830.2,833.99,810.72,818.86,816.1
820.32,829.11,811.29,811.81,809.07
809.19,809.19,783.51,786.23,783.58
775.19,777.98,744.2,746.2,744.92
733.19,734.0,711.4,727.2,725.95
716.31,730.0,712.42,729.73,728.47
735.79,757.37,735.46,753.41,752.11
746.12,753.0,735.0,749.92,748.63
757.05,761.28,745.08,748.01,746.72
750.0,755.0,740.01,755.0,753.7
785.2,807.0,773.95,789.32,787.96
788.12,794.83,780.3,788.19,786.83
791.33,800.33,789.33,795.35,793.98
798.11,805.35,795.22,799.8,798.42
802.93,817.13,801.61,813.33,811.93
828.1,846.46,820.5,829.84,828.41
827.78,831.13,817.46,825.62,824.2
827.68,841.0,825.69,826.71,825.29
823.7,823.7,801.28,803.58,802.2
809.27,814.0,797.0,799.58,798.2
795.25,799.5,786.37,796.03,794.66
796.73,801.84,778.39,782.35,781.0
777.13,794.25,772.99,789.12,787.76
792.0,799.78,775.25,779.0,777.66
777.86,788.0,772.43,778.62,777.28
775.0,779.0,762.5,764.71,763.39
765.1,772.97,752.4,757.54,756.24
811.35,811.35,766.61,767.76,766.44
785.17,799.36,773.07,796.28,794.91
791.37,797.75,787.1,795.67,794.3
794.12,803.91,791.5,794.14,792.77
790.0,793.3,779.22,783.17,781.82
777.92,779.76,771.0,773.84,772.51
771.0,773.91,764.3,772.0,770.67
780.59,787.0,771.77,778.07,776.73
778.17,785.84,775.53,781.98,780.63
783.72,784.77,763.35,765.1,763.78
764.9,783.96,761.62,773.29,771.96
773.83,792.56,770.67,787.22,785.87
791.93,800.0,784.86,799.9,798.52
794.4,805.34,783.61,797.48,796.11
784.23,784.23,729.0,744.91,743.63
