Date,Open,High,Low,Close ,Adj Close ,Volume
Dec 31 2024,771.00,773.91,764.30,772.00,770.67,2327000
Dec 30 2024,777.92,779.76,771.00,773.84,772.51,1719100
Dec 27 2024,790.00,793.30,779.22,783.17,781.82,2096500
Dec 26 2024,794.12,803.91,791.50,794.14,792.77,1274200
Dec 24 2024,791.37,797.75,787.10,795.67,794.30,1165400
Dec 23 2024,785.17,799.36,773.07,796.28,794.91,3622300
Dec 20 2024,811.35,811.35,766.61,767.76,766.44,9942300
Dec 19 2024,765.10,772.97,752.40,757.54,756.24,4032600
Dec 18 2024,775.00,779.00,762.50,764.71,763.39,3354200
Dec 17 2024,777.86,788.00,772.43,778.62,777.28,3924800
Dec 16 2024,792.00,799.78,775.25,779.00,777.66,3426200
Dec 13 2024,777.13,794.25,772.99,789.12,787.76,3059400
Dec 12 2024,796.73,801.84,778.39,782.35,781.00,2823800
Dec 11 2024,795.25,799.50,786.37,796.03,794.66,3510900
Dec 10 2024,809.27,814.00,797.00,799.58,798.20,2695200
Dec 9 2024,823.70,823.70,801.28,803.58,802.20,3176000
Dec 6 2024,827.68,841.00,825.69,826.71,825.29,3047100
Dec 5 2024,827.78,831.13,817.46,825.62,824.20,2423400
Dec 4 2024,828.10,846.46,820.50,829.84,828.41,3871100
Dec 3 2024,802.93,817.13,801.61,813.33,811.93,2782100
Dec 2 2024,798.11,805.35,795.22,799.80,798.42,2895600
Nov 29 2024,791.33,800.33,789.33,795.35,793.98,2206900
Nov 27 2024,788.12,794.83,780.30,788.19,786.83,2714700
Nov 26 2024,785.20,807.00,773.95,789.32,787.96,6622600
Nov 25 2024,750.00,755.00,740.01,755.00,753.70,5690500
Nov 22 2024,757.05,761.28,745.08,748.01,746.72,4015500
Nov 21 2024,746.12,753.00,735.00,749.92,748.63,4143200
Nov 20 2024,735.79,757.37,735.46,753.41,752.11,5158900
Nov 19 2024,716.31,730.00,712.42,729.73,728.47,5832500
Nov 18 2024,733.19,734.00,711.40,727.20,725.95,9154400
Nov 15 2024,775.19,777.98,744.20,746.20,744.92,7334600
Nov 14 2024,809.19,809.19,783.51,786.23,783.58,3998800
Nov 13 2024,820.32,829.11,811.29,811.81,809.07,3059300
Nov 12 2024,830.20,833.99,810.72,818.86,816.10,3378600
Nov 11 2024,831.30,844.00,824.63,832.44,829.63,3342800
Nov 8 2024,803.50,847.27,801.26,831.54,828.74,7212900
Nov 7 2024,784.65,802.55,778.19,797.45,794.76,4557600
Nov 6 2024,817.33,820.73,767.61,776.38,773.76,8257900
Nov 5 2024,803.83,809.21,797.49,806.06,803.34,3733300
Nov 4 2024,805.00,820.19,803.68,806.14,803.42,3918100
Nov 1 2024,828.00,833.00,816.73,818.93,816.17,5266300
Oct 31 2024,836.51,853.50,825.24,829.74,826.94,6582800
Oct 30 2024,798.50,860.50,769.00,846.83,843.98,18257200
Oct 29 2024,898.21,907.98,898.21,903.58,900.53,3187500
Oct 28 2024,894.87,898.21,890.78,895.59,892.57,2084100
Oct 25 2024,899.73,900.96,889.45,892.70,889.69,2228300
Oct 24 2024,898.33,900.00,888.28,891.32,888.32,1797100
Oct 23 2024,905.62,907.95,891.73,903.25,900.21,2646600
Oct 22 2024,901.68,911.12,900.20,909.15,906.09,1391800
Oct 21 2024,917.98,918.86,904.56,906.13,903.08,1592200
Oct 18 2024,917.18,920.92,905.62,917.97,914.88,2286900
Oct 17 2024,921.00,930.51,916.04,917.12,914.03,2191200
Oct 16 2024,910.03,917.81,897.84,916.42,913.33,1645400
Oct 15 2024,924.44,926.52,907.80,913.32,910.24,2284200
Oct 14 2024,936.00,937.00,926.00,929.51,926.38,1550400
Oct 11 2024,916.04,932.24,911.18,932.06,928.92,2293900
Oct 10 2024,920.00,922.00,905.15,910.69,907.62,1682100
Oct 9 2024,916.29,921.35,912.00,919.74,916.64,1820100
Oct 8 2024,903.00,921.97,902.23,913.72,910.64,2200000
Oct 7 2024,890.51,905.28,889.57,898.40,895.37,2915700
Oct 4 2024,885.91,888.97,876.89,887.16,884.17,1970500
Oct 3 2024,889.54,892.00,880.88,885.55,882.56,1974700
Oct 2 2024,880.00,893.35,878.70,891.07,888.07,1751600
Oct 1 2024,888.83,891.27,878.87,884.48,881.50,2455200
Sep 30 2024,864.52,887.43,858.81,885.94,882.95,3244600
Sep 27 2024,893.62,901.21,875.61,877.79,874.83,4377300
Sep 26 2024,920.26,921.85,905.30,909.32,906.25,2693000
Sep 25 2024,931.79,939.30,921.19,924.56,921.44,1805100
