Date,Open,High,Low,Close,Adj_Close,Volume
Jul 18 2024,907.03,909.87,836.66,848.9,843.13,7649600
Jul 19 2024,867.66,880.21,853.0,857.47,851.64,3782200
Jul 22 2024,864.8,874.42,856.82,865.97,860.08,2904500
Jul 23 2024,870.0,887.72,864.08,878.29,872.32,2087700
Jul 24 2024,872.5,878.34,854.27,859.88,854.03,2726100
Jul 25 2024,847.0,851.62,806.38,821.19,815.61,5468000
Jul 26 2024,811.87,822.01,801.3,804.62,799.15,4173900
Jul 29 2024,814.01,824.77,804.0,807.79,802.3,2473700
Jul 30 2024,815.18,821.9,775.81,790.21,784.84,3848600
Jul 31 2024,800.17,811.14,792.09,804.27,798.8,2961700
Aug 1 2024,833.62,840.89,820.18,832.44,826.78,4060700
Aug 2 2024,816.67,820.19,787.02,804.46,798.99,3515900
Aug 5 2024,758.0,792.94,747.55,775.26,769.99,4661800
Aug 6 2024,789.14,806.27,785.0,793.18,787.79,3437600
Aug 7 2024,778.3,786.58,763.02,772.14,766.89,4407700
Aug 8 2024,875.0,877.78,825.24,845.31,839.56,9434900
Aug 9 2024,860.0,908.49,860.0,891.68,885.62,6587600
Aug 12 2024,904.21,904.72,883.0,884.38,878.37,4206100
Aug 13 2024,894.08,914.69,890.33,908.05,901.88,3506800
Aug 14 2024,910.0,934.38,903.79,931.68,925.35,3562900
Aug 15 2024,936.0,937.96,920.0,931.58,926.54,3080000
Aug 16 2024,928.39,936.3,919.39,922.12,917.13,2364900
Aug 19 2024,922.12,926.0,916.5,921.81,916.82,2374600
Aug 20 2024,932.1,967.0,930.51,949.97,944.83,4961500
Aug 21 2024,955.62,956.5,939.17,951.97,946.82,2617000
Aug 22 2024,951.98,972.53,948.14,954.17,949.01,3183700
Aug 23 2024,955.44,960.5,943.11,952.74,947.59,2063300
Aug 26 2024,949.2,955.0,942.77,950.53,945.39,2166000
Aug 27 2024,952.5,972.48,949.95,954.48,949.32,2912900
Aug 28 2024,954.15,958.34,943.26,948.94,943.81,1701800
Aug 29 2024,955.0,957.52,936.0,940.2,935.11,1762800
Aug 30 2024,945.0,961.0,940.51,960.02,954.83,2555100
Sep 3 2024,957.77,969.65,951.58,956.53,951.36,2529400
Sep 4 2024,949.75,954.0,938.01,946.31,941.19,1891700
Sep 5 2024,941.16,943.0,906.17,912.75,907.81,3201100
Sep 6 2024,917.76,927.9,893.0,902.71,897.83,3440000
Sep 9 2024,912.57,915.43,895.92,908.27,903.36,2405900
Sep 10 2024,914.11,915.11,895.0,901.25,896.37,1930400
Sep 11 2024,902.15,921.54,897.2,920.89,915.91,2721100
